,product,ingList,ing#List,commonIng
1156,Broad Spectrum SPF 21 Moisturizer,"['Cinoxate', 'Ethylhexyl Salicylate', 'Benzophenone-3', 'Benzophenone-2', 'Water', 'Butylene Glycol', 'Dimethicone', 'Neopentyl Glycol Diheptanoate', 'Cetearyl Alcohol', 'Silica', 'PEG-100 Stearate', 'Lactobacillus Ferment', 'Hordeum Vulgare Extract', 'Algae Extract', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Helianthus Annuus (Sunflower) Seedcake', 'Cholesterol', 'Cetearyl Glucoside', 'Propylene Glycol Dicaprate', 'Chamomilla Recutita (Matricaria', 'Tridecyl Trimellitate', 'Hydrogenated Lecithin', 'Stearyl Alcohol', 'Zeolite', 'Tridecyl Stearate', 'Isododecane', 'Dipentaerythrityl Hexacaprylate/Hexacaprate', 'PVP', 'Oleth-10', 'Laureth-4', 'Laureth-23', 'Caprylyl Glycol', 'Hexylene Glycol', 'Polyethylene', 'Tromethamine', 'Carbomer', 'Sodium Citrate', 'Disodium EDTA', 'Sodium Benzoate', 'Potassium Sorbate', 'Chlorphenesin', 'Phenoxyethanol', 'Yellow 5 Lake', 'Yellow 6 Lake', 'Red 30 Lake']","[333, 274, 275, 1199, 0, 2, 50, 765, 46, 102, 27, 471, 322, 406, 140, 674, 152, 766, 673, 153, 931, 206, 174, 566, 930, 1387, 932, 489, 1042, 112, 1640, 146, 147, 494, 156, 159, 160, 15, 249, 907, 34, 16, 186, 185, 583]",15
12448,Post-Workout Mattifying Moisturizer,"['Water', 'Isododecane', 'Butylene Glycol', 'Polypropylene', 'Dimethicone', 'Bis-PEG-18 Methyl Ether Dimethyl Silane', 'Glycerin', 'Trehalose', 'Polygonum Cuspidatum Root Extract', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Ammonium Acryloyldimethyltaurate/VP Copolymer', 'Saccharomyces Lysate Extract', 'Hordeum Vulgare Extract', 'Laminaria Saccharina Extract', 'Lactobacillus Ferment', 'Caffeine', 'Oleth-10', 'Sodium Hyaluronate', 'Polysilicone-11', 'Tromethamine', 'Acrylates/C10-30 Alkyl Acrylate Crosspolymer', 'Caprylyl Glycol', 'Propylene Glycol Dicaprate', 'Helianthus Annuus (Sunflower) Seedcake', 'Tocopheryl Acetate', 'Hexylene Glycol', 'Laureth-23', 'Laureth-4', 'Silica', 'Disodium EDTA', 'CI 19140', 'CI 14700', 'CI 15985', 'Phenoxyethanol']","[0, 1387, 2, 593, 50, 85, 23, 304, 284, 140, 4, 1052, 322, 526, 471, 141, 1042, 109, 321, 156, 11, 146, 673, 674, 98, 147, 1640, 112, 102, 15, 331, 537, 436, 16]",14
855,Dramatically Different Moisturizing Lotion+ with Pump,"['Water', 'Mineral Oil', 'Glycerin', 'Petrolatum', 'Glyceryl Stearate', 'Sesamum Indicum (Sesame) Seed Oil', 'Urea', 'Lanolin Alcohol', 'Triethanolamine', 'Hordeum Vulgare Extract', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Helianthus Annuus (Sunflower) Seedcake', 'Propylene Glycol Dicaprate', 'Sodium Hyaluronate', 'Butylene Glycol', 'Pentylene Glycol', 'Trisodium EDTA', 'Phenoxyethanol', 'Yellow 6 Lake', 'Yellow 5 Lake', 'Red 30 Lake']","[0, 22, 23, 47, 26, 3, 298, 869, 538, 322, 140, 674, 673, 109, 2, 150, 516, 16, 185, 186, 583]",10
5289,Line Refiner,"['Water', 'Caprylic/Capric Triglyceride', 'Tridecyl Trimellitate', 'Tridecyl Stearate', 'C12-15 Alkyl Benzoate', 'Propylene Glycol', 'Polyglyceryl-10 Pentastearate', 'Cetyl Alcohol', 'Behenyl Alcohol', 'Glyceryl Stearate', 'Beeswax', 'Cyclopentasiloxane', 'Acetyl Tributyl Citrate', 'Phenoxyethanol', 'Cyclohexasiloxane', 'Polyacrylamide', 'Sodium Stearoyl Lactylate', 'Methylparaben', 'Triethylhexyl Trimellitate', 'Triethyl Citrate', 'C13-14 Isoparaffin', 'Isopropylparaben', 'Butylparaben', 'Xanthan Gum', 'Ethyl Lactate', 'Laureth-7', 'Triethanolamine', 'Citric Acid']","[0, 148, 931, 930, 178, 169, 1007, 233, 296, 26, 693, 25, 2777, 16, 31, 234, 1006, 17, 4972, 1565, 235, 1919, 20, 87, 4586, 236, 538, 312]",8
10167,Anti-Age Firming Cream,"['Water', 'Soluble Collagen', 'Caprylic/Capric Triglyceride', 'Propylene Glycol', 'Glycerin', 'Glyceryl Stearate SE', 'Butyrospermum Parkii (Shea) Butter Extract', 'Tridecyl Stearate', 'Tridecyl Trimellitate', 'Dimethicone', 'Persea Gratissima (Avocado) Oil', 'Prunus Amygdalus Dulcis (Sweet Almond) Oil', 'Cetyl Alcohol', 'Glyceryl Stearate', 'PEG-100 Stearate', 'Dipentaerythrityl Hexacaprylate/Hexacaprate', 'Carbomer', 'Palmitic Acid(Emollient, Fragrance, Opacifying, Sufactant, Surfactant -Emulsifying Agentsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Palmitic Acid.', 'Triethanolamine', '1,2-Hexanediol', 'Caprylyl Glycol', 'Tocopheryl Acetate', 'Polyacrylamide', 'Allantoin', 'C13-14 Isoparaffin', 'Disodium EDTA', 'Phenoxyethanol', 'Fragrance', 'Polysorbate 20', 'Retinyl Palmitate (Vitamin A', 'Laureth-7', 'Arachis Hypogaea (Peanut) Oil', 'Sodium Hyaluronate', 'Tropolone', 'Linoleic Acid', 'Tocopherol (Vitamin E', 'Oleic Acid(Emollient, Fragrance, Emulsifying, Sufactantsurfactant-Cleansing Agent Is Included As A Function For The Soap Form Of Oleic Acid.', 'Linolenic Acid']","[0, 219, 148, 169, 23, 361, 1069, 930, 931, 50, 744, 184, 233, 26, 27, 932, 159, 396, 538, 202, 146, 98, 234, 53, 235, 15, 16, 61, 41, 485, 236, 3548, 109, 792, 325, 45, 1668, 1087]",12
8336,Clear Bloom,"['Cetyl Ethylhexanoate', 'Tridecyl Stearate', 'Tridecyl Trimellitate', 'PEG-20 Glyceryl Triisostearate', 'Dipentaerythrityl Hexacaprylate/Hexacaprate', 'Sorbitan Sesquioleate', 'C12-15 Alkyl Benzoate', 'Vitis Vinifera (Grape) Seed Oil', 'Butylene Glycol', 'Helianthus Annuus (Sunflower) Seed Oil', 'Carthamus Tinctorius (Safflower) Seed Oil', 'Squalane', 'Jojoba Esters', 'Glycerin', 'Echinacea Purpurea Root Extract', 'Tocopherol (Vitamin E']","[428, 930, 931, 908, 932, 238, 178, 696, 2, 378, 641, 326, 644, 23, 5672, 45]",5
1450,Redness Solutions Soothing Cleanser,"['Water', 'Squalane', 'Glycerin', 'Butylene Glycol', 'Phenyl Trimethicone', 'Ammonium Acryloyldimethyltaurate/VP Copolymer', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Hordeum Vulgare Extract', 'Sucrose Stearate', 'Sea Whip Extract', 'Cholesterol', 'Helianthus Annuus (Sunflower) Seedcake', 'Acetyl Glucosamine', 'Lactobacillus Ferment', 'PPG-20 Methyl Glucose Ether', 'Caffeine', 'Propylene Glycol Dicaprate', 'Caprylyl Glycol', 'Disodium EDTA', 'BHT', 'Phenoxyethanol', 'Polyaminopropyl Biguanide', 'CI 19140', 'CI 61565', 'CI 42090']","[0, 326, 23, 2, 88, 4, 140, 322, 151, 557, 152, 674, 530, 471, 157, 141, 673, 146, 15, 33, 16, 1152, 331, 2485, 330]",10
243,Anti-Age Moisturizer,"['Water', 'Squalane', 'Glycerin', 'Isostearyl Neopentanoate', 'Butyrospermum Parkii (Shea) Butter', 'Butylene Glycol', 'PEG-100', 'Cetyl Alcohol', 'Dimethicone', 'Polyethylene', 'Glyceryl Stearate', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Hordeum Vulgare Extract', 'Siegesbeckia Orientalis (St. Paulswort) Extract', 'Whey Protein', 'Caffeine', 'Acetyl Hexapeptide-8', 'Sucrose', 'Petrolatum', 'Sodium Polyacrylate', 'Acetyl Glucosamine', 'Caprylyl Glycol', 'Propylene Glycol Dicaprate', 'Helianthus Annuus (Sunflower) Seedcake', 'Glyceryl Polymethacrylate', 'Palmitoyl Oligopeptide', 'Tocopheryl Acetate', 'Sodium Hyaluronate', 'Dimethicone Crosspolymer-3', 'Hexylene Glycol', 'PTFE', 'PEG-8', 'Xanthan Gum', 'Disodium EDTA', 'Phenoxyethanol']","[0, 326, 23, 965, 237, 2, 632, 233, 50, 494, 26, 140, 322, 651, 988, 141, 662, 5, 47, 271, 530, 146, 673, 674, 1183, 1352, 98, 109, 1661, 147, 1310, 980, 87, 15, 16]",13
15462,Liquid Facial Soap Extra Mild,"['Water', 'Caprylic/Capric Triglyceride', 'Glycerin', 'Olea Europaea (Olive) Fruit Oil', 'Butylene Glycol', 'Phenyl Trimethicone', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Hordeum Vulgare Extract', 'Helianthus Annuus (Sunflower) Seedcake', 'Dimethicone', 'Sodium Hyaluronate', 'Tocopheryl Acetate', 'Dipotassium Glycyrrhizate', 'Cholesterol', 'Sucrose Stearate', 'Sucrose', 'Caffeine', 'PPG-20 Methyl Glucose Ether', 'Urea', 'Sodium PCA', 'Linoleic Acid', 'Propylene Glycol Dicaprate', 'Chamomilla Recutita (Matricaria', 'Pentylene Glycol', 'Polyquaternium-51', 'Trehalose', 'Caprylyl Glycol', 'Ammonium Acryloyldimethyltaurate/VP Copolymer', 'Phenoxyethanol']","[0, 148, 23, 149, 2, 88, 140, 322, 674, 50, 109, 98, 403, 152, 151, 5, 141, 157, 298, 190, 325, 673, 153, 150, 305, 304, 146, 4, 16]",11
892,Oil Control Mattifying Moisturizer,"['Water', 'Dimethicone', 'Isododecane', 'Butylene Glycol', 'Bis-PEG-18 Methyl Ether Dimethyl Silane', 'Glycerin', 'Laminaria Saccharina Extract', 'Lactobacillus Ferment', 'Polygonum Cuspidatum Root Extract', 'Saccharomyces Lysate Extract', 'Cucumis Sativus (Cucumber) Fruit Extract', 'Hordeum Vulgare Extract', 'Helianthus Annuus (Sunflower) Seedcake', 'Caffeine', 'Trehalose', 'Sodium Hyaluronate', 'Tocopheryl Acetate', 'Chamomilla Recutita (Matricaria', 'Polysilicone-11', 'Silica', 'Propylene Glycol Dicaprate', 'Laureth-23', 'Laureth-4', 'Ammonium Acryloyldimethyltaurate/VP Copolymer', 'Carbomer', 'Tromethamine', 'Disodium EDTA', 'Phenoxyethanol', 'Methylparaben', 'Yellow 5 Lake', 'Red 4 Lake', 'Yellow 6 Lake']","[0, 50, 1387, 2, 85, 23, 526, 471, 284, 1052, 140, 322, 674, 141, 304, 109, 98, 153, 321, 102, 673, 1640, 112, 4, 159, 156, 15, 16, 17, 186, 187, 185]",12
